Serial_number,page 1,page 2,page 3,page 4,page 5,desired page score,Scaled ,Final
99,13.04239914,30.43149673,32.61061836,6.522412081,17.39307369,17.39307369,1.739307369,1.74
100,16.66604332,16.66604332,25.00105477,24.998966,16.66789259,16.66789259,1.666789259,1.67
101,19.99774508,7.999274455,24.00282964,24.0020136,23.99813722,23.99813722,2.399813722,2.4
102,22.72507433,9.08917922,27.27587474,27.27343716,13.63643455,13.63643455,1.363643455,1.36
103,0,0,0,0,100,100,10,10
104,0,0,0,0,100,100,10,10
105,14.28575993,28.568573,28.57236385,0,28.57330322,28.57330322,2.857330322,2.86
106,12.50231063,25.0019118,24.99648364,24.99999653,12.49929741,12.49929741,1.249929741,1.25
107,19.99755859,0.0048828125,40,39.99511719,0.00244140625,0.00244140625,0.000244140625,0
108,4.348525695,34.77954683,26.08868138,8.694818736,26.08842735,26.08842735,2.608842735,2.61
109,0.003135755774,0.004679338882,0.01047416724,0.004679338882,99.9770314,99.9770314,9.99770314,10
110,0.002497925452,0.003221966608,0.006315266241,0.003221966608,99.98474288,99.98474288,9.998474288,10
111,3.703303298,37.03986134,22.22087614,7.408007003,29.62795222,29.62795222,2.962795222,2.96
112,7.692377916,30.77089058,23.07581399,15.38538372,23.0755338,23.0755338,2.30755338,2.31
113,0,66.66503906,0,0,33.33496094,33.33496094,3.333496094,3.33
114,20,20,20,20,20,20,2,2
115,12.4991725,18.75040505,24.99598782,25.00402959,18.75040505,18.75040505,1.875040505,1.88
116,0,46.15429834,15.38737258,15.38307834,23.07525075,23.07525075,2.307525075,2.31
117,0,49.99762039,0,16.6666455,33.33573411,33.33573411,3.333573411,3.33
118,0,18.74801441,25.00215275,6.249511444,50.0003214,50.0003214,5.00003214,5
119,0,19.99930012,26.66910102,13.33339172,39.99820713,39.99820713,3.999820713,4
120,0,4.18E-06,33.33520424,0,66.66479158,66.66479158,6.666479158,6.67
121,2.10E-13,3.18E-05,20.00126941,20.00123762,59.99746117,59.99746117,5.999746117,6
122,0.000256,28.57104244,14.28533667,14.28596177,42.85740311,42.85740311,4.285740311,4.29
123,1.64E-08,33.33249446,1.64E-08,16.66505158,50.00245393,50.00245393,5.000245393,5
124,0.000256,49.998336,0.000256,0.000256,50.000896,50.000896,5.0000896,5
125,2.20E-27,40.00123754,20.00200238,2.20E-27,39.99676008,39.99676008,3.999676008,4
126,0.0003051757813,49.99847412,0.0003051757813,0.0003051757813,50.00061035,50.00061035,5.000061035,5
127,0.0003051757813,49.99908447,0.0003051757813,0,50.00030518,50.00030518,5.000030518,5
128,2.98E-07,0.004882514477,2.98E-07,0,99.99511689,99.99511689,9.999511689,10
129,1.86E-08,0.003662016243,1.86E-08,0,99.99633795,99.99633795,9.999633795,10
130,1.86E-08,0.006103422493,1.86E-08,0,99.99389654,99.99389654,9.999389654,10
131,4.66E-09,0.004272363149,2.33E-08,4.66E-09,99.9957276,99.9957276,9.99957276,10
132,2.98E-07,53.33170503,26.66829437,2.98E-07,20,20,2,2
133,4.77E-06,35.55772305,17.77560711,4.77E-06,46.66666031,46.66666031,4.666666031,4.67
134,4.77E-06,35.55772305,17.77560711,0,46.66666508,46.66666508,4.666666508,4.67
135,1.86E-08,0.003662016243,1.86E-08,0,99.99633795,99.99633795,9.999633795,10
136,0.001220703125,73.33129883,0.001220703125,0,26.66625977,26.66625977,2.666625977,2.67
137,0.001220703125,46.66625977,0.001220703125,0,53.33129883,53.33129883,5.333129883,5.33
138,0.001220703125,53.33129883,0.001220703125,0,46.66625977,46.66625977,4.666625977,4.67
139,0.003048315806,69.99847584,0,0,29.99847584,29.99847584,2.999847584,3
140,49.99654636,16.66696136,0,0,33.33649228,33.33649228,3.333649228,3.33
141,30.00118806,9.999405968,0,20.0017821,39.99762387,39.99762387,3.999762387,4
142,37.49954604,12.4991422,0,0,50.00131176,50.00131176,5.000131176,5
143,25.00059273,25.00059273,0,0,49.99881454,49.99881454,4.999881454,5
144,20.00118806,20.00118806,0,0,59.99762387,59.99762387,5.999762387,6
145,0,0,0,0,100,100,10,10
146,0,0,0,0,100,100,10,10
147,0,0.0195948817,0.0195948817,59.96081024,40,40,4,4
148,0,0.0195948817,0.0195948817,20,79.96081024,79.96081024,7.996081024,8
149,0,0.0195948817,0.0195948817,0,99.96081024,99.96081024,9.996081024,10
150,0,50.00108717,37.4978727,0,12.50104012,12.50104012,1.250104012,1.25
151,0,66.66516002,1.39E-06,0,33.33483859,33.33483859,3.333483859,3.33
152,0,0.003653746369,4.18E-06,0,99.99634207,99.99634207,9.999634207,10
153,0,0.004261310262,5.58E-06,0,99.99573311,99.99573311,9.999573311,10
154,0,0.0100695324,0.00808356789,0.003510358371,99.97833654,99.97833654,9.997833654,10
155,0,26.66619627,40.0018628,13.33194093,20,20,2,2
156,0,0.01625347055,0.01625347055,0.006501388218,99.96099167,99.96099167,9.996099167,10
157,0,19.99950921,30.0014661,9.999024692,40,40,4,4
